azimuth,elevation,response
4,-39,-0.6168388982818832
4,-38,-0.2591616957069022
4,-37,0.03410020090097097
4,-36,0.2556507473660849
4,-35,0.4091851546609989
4,-34,0.5093902976788488
4,-33,0.5668929165101209
4,-32,0.5930961492590083
4,-31,0.5947213208853332
4,-30,0.575372451763022
4,-29,0.5325284737334253
4,-28,0.4700151115337714
4,-27,0.44384393494480473
4,-26,0.5430228812728983
4,-25,0.7194594958070902
4,-24,0.9083340011860915
4,-23,1.1471741744406017
4,-22,1.4808883706098137
4,-21,1.9494546323023023
4,-20,2.583005267902838
4,-19,3.491638384905965
4,-18,4.713073858750613
4,-17,6.055311981376546
4,-16,7.306705207138655
4,-15,8.507707181575018
4,-14,9.710725309935484
4,-13,10.825783435711749
4,-12,11.756214996777711
4,-11,12.430187415708014
4,-10,12.794975513045486
4,-9,12.76468716376133
4,-8,12.353056710141937
4,-7,11.656798673702989
4,-6,10.799527121764571
4,-5,9.911367529858829
4,-4,9.098801531819527
4,-3,8.482619297618772
4,-2,8.064047352122255
4,-1,7.695546114537392
4,0,7.294622221861019
4,1,6.847077841702003
4,2,6.331114950728494
4,3,5.90483045609152
4,4,5.770954802182768
4,5,5.932081663163972
4,6,6.2622096173227595
4,7,6.6487015331561725
4,8,6.956603510540935
4,9,7.072039433183852
4,10,6.913988845327092
4,11,6.496440784049005
4,12,5.907131529548489
4,13,5.208852012002674
4,14,4.448062372492679
4,15,3.611749595267432
4,16,2.6736042244076876
4,17,1.6187858249401947
4,18,0.4461157738475277
4,19,-0.8104819357016528
4,20,-2.1131938144014635
4,21,-3.5741440973955876
4,22,-5.244150009467472
4,23,-6.905399903228202
4,24,-8.393080809588232
4,25,-9.84424962706215
4,26,-11.369061384459352
4,27,-12.876887289824879
4,28,-14.222122634041618
4,29,-15.216714548835753
4,30,-15.7063620035173
4,31,-15.55581188798036
4,32,-14.829802193448499
4,33,-13.67401854122598
4,34,-12.309905827619994
4,35,-11.011285833346914
4,36,-10.002409506324769
4,37,-9.16775681016417
4,38,-8.268318642059782
4,39,-7.4921062478090485
4,40,-7.116818714953655
4,41,-7.182494499185954
4,42,-7.549913788851336
4,43,-8.123738293839875
4,44,-8.77653141530671
4,45,-9.364902405529218
4,46,-9.769581751080839
4,47,-10.0370332972317
4,48,-10.288671399905246
4,49,-10.549496111350887
4,50,-10.839691178222587
4,51,-11.221862247611279
4,52,-11.726470191513867
4,53,-12.192084898957132
4,54,-12.464368168739659
4,55,-12.486784080908675
4,56,-12.270825318351845
4,57,-11.866887281506692
4,58,-11.326465128292684
4,59,-10.670113014752756
4,60,-9.90181483850964
4,61,-9.010025736354175
4,62,-8.022449092133446
4,63,-7.093384850623019
4,64,-6.392223551354924
4,65,-5.777427603471387
4,66,-5.088781927216764
4,67,-4.383762449586048
4,68,-3.7457035997933685
4,69,-3.2666983044011464
4,70,-3.0173602364268053
4,71,-3.118364988792751
4,72,-3.5831528850122716
4,73,-4.3214846939891265
4,74,-5.192555219774824
4,75,-6.01688324443458
4,76,-6.646215503892721
4,77,-7.047438368935367
4,78,-7.310999383942667
4,79,-7.547746827422123
4,80,-7.830003921797617
4,81,-8.160991497793814
4,82,-8.539481068469135
4,83,-8.793325003823778
4,84,-8.707796380420683
4,85,-8.334995966902918
4,86,-7.812931945277257
4,87,-7.179223431123916
4,88,-6.4867732660662565
4,89,-5.793815593705919
4,90,-5.145966482590543
5,-90,-1.8142916450371054
5,-89,-2.0112337151700572
5,-88,-2.306984341848991
5,-87,-2.6639183944343685
5,-86,-3.085080841270461
5,-85,-3.607286117907457
5,-84,-4.255975374748568
5,-83,-4.978745604530236
5,-82,-5.676025999723564
5,-81,-6.149776735539573
5,-80,-6.311331449963172
5,-79,-6.1690500160098996
5,-78,-5.807598083634988
5,-77,-5.294264570178008
5,-76,-4.822493390977744
5,-75,-4.520340572759579
5,-74,-4.375885677059499
5,-73,-4.281501054399659
5,-72,-4.194566609328512
5,-71,-4.030303636350518
5,-70,-3.7569572285551254
5,-69,-3.3793797620351107
5,-68,-2.9460151682700433
5,-67,-2.512122789290259
5,-66,-2.193298266674053
5,-65,-2.0472898575860916
5,-64,-2.0261944173923188
5,-63,-2.055457671303614
5,-62,-2.1411375148467116
5,-61,-2.2868823328347982
5,-60,-2.491945888847906
5,-59,-2.779432370897411
